date,regime_most_likely,regime_prob_0,regime_prob_1,regime_prob_2,regime_raw
2013-03-27,1,0.5625622054265496,0.42810827319364303,0.009329521380274198,0
2013-03-28,0,0.7933141074997703,0.039886281568610786,0.16679961093199525,0
2013-03-29,0,0.5419109531667403,0.43334198074974134,0.024747066084138476,0
2013-04-03,0,0.1084687766910726,0.8816605791194045,0.009870644189667148,1
2013-04-04,1,0.3937436261333363,0.568028160382805,0.03822821348379684,1
2013-04-05,1,0.4478277258928622,0.4672562645046272,0.08491600960289566,1
2013-04-10,1,0.6883238885099628,0.27361478841571074,0.038061323074983985,0
2013-04-11,1,0.5677055898232164,0.36015969960800637,0.07213471056828653,1
2013-04-12,0,0.9124723634071644,0.06429366527362823,0.023233971319705147,0
2013-04-15,0,0.9267494464455407,0.008973406524467764,0.0642771470297867,0
2013-04-16,0,0.9761292845079498,0.001142642781792724,0.02272807271016512,0
2013-04-17,0,0.9542515514475959,0.0006573845815375522,0.04509106397162853,0
2013-04-18,0,0.7931821661212338,0.0016667977491302433,0.20515103612988686,0
2013-04-19,0,0.97175422299819,0.0004178049026531538,0.02782797209999489,0
2013-04-22,0,0.9767778925931556,0.00048548485638090527,0.022736622549755323,0
2013-04-23,0,0.9907935561922844,0.00021584083869964052,0.008990602968916215,0
2013-04-24,0,0.9828166671189019,0.0001955729293391983,0.016987759950995666,0
2013-04-25,0,0.9934645287591182,1.7827328792556665e-05,0.00651764391234323,0
2013-04-26,0,0.9930842490465315,1.6169331543478527e-05,0.006899581622633591,0
2013-05-01,0,0.9878409346774936,0.00014409647311683385,0.012014968849989883,0
2013-05-02,0,0.9902319299677574,0.0001131405005840225,0.009654929531491344,0
2013-05-03,0,0.9797073773954954,0.00031084600909835427,0.019981776595474413,0
2013-05-06,0,0.342724687708254,0.0011236758219590204,0.6561516364704639,2
2013-05-07,0,0.755002149966941,0.0004964051763668482,0.24450144485704847,0
2013-05-08,0,0.9324754018749787,0.00020572607495851679,0.06731887205046042,0
2013-05-09,0,0.9823091298585316,8.679992450478556e-05,0.017604070217122327,0
2013-05-10,0,0.5836925243820023,0.007894693335157807,0.4084127822832408,0
2013-05-13,0,0.00018365970763232836,0.0009795800667314922,0.99883676022609,2
2013-05-14,2,0.3733639465917744,0.008584742094793974,0.6180513113136169,2
2013-05-15,2,0.3646290631945106,0.008725175850869495,0.6266457609546666,2
2013-05-16,2,0.8685806440155273,0.002550074579877588,0.1288692814048742,0
2013-05-17,0,0.9483469624394361,0.001857037585150605,0.04979599997542288,0
2013-05-20,0,0.21242014208596846,0.06388825177045562,0.7236916061437928,2
2013-05-21,2,0.43205062514239323,0.10512033109811422,0.462829043758809,2
2013-05-22,2,0.8277937019747568,0.09824309716535037,0.07396320085944412,0
2013-05-23,2,0.0012098127521131524,0.10921407811196132,0.8895761091367882,2
2013-05-24,2,0.16025644529115576,0.18208639606640745,0.657657158641934,2
2013-05-27,2,0.48981644015950154,0.34555488136459594,0.1646286784761381,1
2013-05-28,0,0.7434338680542577,0.23367065339727952,0.022895478548075,0
2013-05-29,0,1.3614890064359009e-06,0.08575041730270815,0.9142482212078983,2
2013-05-30,2,0.018632425338063224,0.08628223479845185,0.8950853398627986,2
2013-05-31,2,0.22979155394771883,0.21991275603376972,0.5502956900180854,2
2013-06-03,2,0.18919986612469622,0.6420763151136576,0.16872381876085474,1
2013-06-04,0,0.7796156935062276,0.11829669020673986,0.10208761628620207,0
2013-06-05,1,0.06259248868078122,0.8709627875293781,0.0664447237903818,1
2013-06-06,0,0.8680547206407262,0.07361551432668305,0.058329765031991714,0
2013-06-07,0,0.09761167138338388,0.31166080476561997,0.5907275238516368,2
