Pair,Entry Year,Entry Date,Exit Date,Direction,Entry Spread,Exit Spread,Opt_Entry_Z,Opt_Exit_Z,Net PnL (bps),Holding Days,Exit Reason
USD-EUR 5Y,2022,2022-11-07,2022-11-08,Long,-0.01851497927373935,-0.03773621709480657,1.5,1.0,-197.21237821067217,1,Mean Reversion
USD-EUR 5Y,2022,2022-11-09,2022-11-10,Long,0.0010509224503931769,-0.08242973629205275,1.5,1.0,-839.8065874244593,1,Mean Reversion
USD-EUR 5Y,2022,2022-11-11,2022-11-15,Long,-0.10618472753357588,-0.05154457529458889,1.5,1.0,541.4015223898699,4,Regime Shift (Forced)
USD-EUR 5Y,2022,2022-12-14,2022-12-16,Long,-0.04707520444824276,-0.05425366203052162,1.5,1.0,-76.78457582278864,2,Regime Shift (Forced)
USD-EUR 5Y,2023,2023-01-09,2023-01-11,Long,-0.04626640423085604,-0.008120770324611781,1.5,1.0,376.45633906244257,2,Mean Reversion
USD-EUR 5Y,2023,2023-01-13,2023-01-16,Long,0.005783125030928149,0.0060282059034413304,1.5,1.0,-2.5491912748681855,3,Mean Reversion
USD-EUR 5Y,2023,2023-01-19,2023-01-23,Long,-0.025728781911802612,0.0195872479930157,1.5,1.0,448.1602990481831,4,Mean Reversion
USD-EUR 5Y,2023,2023-02-02,2023-02-03,Long,0.019097617636902653,0.062838848227871,1.5,1.0,432.4123059096835,1,Mean Reversion
USD-EUR 5Y,2023,2023-02-06,2023-02-08,Short,0.07789873185442686,-0.010904223562680837,1.5,1.0,883.0295541710769,2,Mean Reversion
USD-EUR 5Y,2023,2023-02-10,2023-02-14,Short,0.025063597737766674,0.016265030438798123,1.5,1.0,82.98567298968551,4,Mean Reversion
USD-EUR 5Y,2023,2023-03-09,2023-03-15,Short,-0.040735052006922956,-0.028056819938173216,1.5,1.0,-131.7823206874974,6,Mean Reversion
USD-EUR 5Y,2023,2023-04-04,2023-04-06,Long,-0.05875588317459779,-0.008142262368380004,1.5,1.0,501.13620806217784,2,Mean Reversion
USD-EUR 5Y,2023,2023-04-13,2023-04-14,Long,-0.00824190242502354,0.02216960197173945,1.5,1.0,299.1150439676299,1,Mean Reversion
USD-EUR 5Y,2023,2023-04-18,2023-04-19,Short,0.0034560421729648017,-0.0016089306337991882,1.5,1.0,45.6497280676399,1,Mean Reversion
USD-EUR 5Y,2023,2023-04-26,2023-04-27,Long,0.008433309422219981,0.02945788398701832,1.5,1.0,205.24574564798337,1,Mean Reversion
USD-EUR 5Y,2024,2024-02-14,2024-02-15,Short,0.017788105052078507,-0.015881298095971275,1.5,1.0,331.6940314804978,1,Mean Reversion
USD-EUR 5Y,2024,2024-03-04,2024-03-05,Long,0.005947185851350234,0.0008406805961689301,1.5,1.0,-56.06505255181304,1,Mean Reversion
USD-EUR 5Y,2024,2024-04-11,2024-04-15,Short,0.03477697343695629,0.00808473043200797,1.5,1.0,261.92243004948324,4,Regime Shift (Forced)
USD-EUR 5Y,2024,2024-04-15,2024-04-16,Short,0.00808473043200797,0.018376756356798918,1.5,1.0,-107.92025924790948,1,Mean Reversion
